id,age,agemonths,ageyears,agecat,sex,order,boxtype,trialtype,order2,order3,trialno,side,response,correct,answer,explanation
15,4,55,4.583333333,four,1,penfirst,blue-right,pen,1,test,1,R,L,1,there was a hole in there,1
15,4,55,4.583333333,four,1,penfirst,blue-right,pen,1,test,2,L,R,1,there was a hole in there,1
15,4,55,4.583333333,four,1,penfirst,blue-right,pen,1,test,3,L,R,1,there was a hole in there,1
15,4,55,4.583333333,four,1,penfirst,blue-right,pen,1,test,4,R,L,1,there was a hole in there,1
15,4,55,4.583333333,four,1,penfirst,blue-right,pen,1,test,5,L,R,1,there was a hole in there,1
15,4,55,4.583333333,four,1,penfirst,blue-right,pen,1,test,6,R,R,0,there was a hole in there,1
15,4,55,4.583333333,four,1,penfirst,blue-right,pen,1,test,7,R,L,1,there was a hole in there,1
15,4,55,4.583333333,four,1,penfirst,blue-right,pen,1,test,8,L,R,1,there was a hole in there,1
15,4,55,4.583333333,four,1,penfirst,blue-right,sticker,2,transfer,1,L,L,1,there was a hole in there,1
15,4,55,4.583333333,four,1,penfirst,blue-right,sticker,2,transfer,2,R,R,1,there was a hole in there,1
15,4,55,4.583333333,four,1,penfirst,blue-right,sticker,2,transfer,3,R,L,0,there was a hole in there,1
15,4,55,4.583333333,four,1,penfirst,blue-right,sticker,2,transfer,4,L,L,1,there was a hole in there,1
15,4,55,4.583333333,four,1,penfirst,blue-right,sticker,2,transfer,5,L,L,1,there was a hole in there,1
15,4,55,4.583333333,four,1,penfirst,blue-right,sticker,2,transfer,6,R,R,1,there was a hole in there,1
15,4,55,4.583333333,four,1,penfirst,blue-right,sticker,2,transfer,7,L,L,1,there was a hole in there,1
15,4,55,4.583333333,four,1,penfirst,blue-right,sticker,2,transfer,8,L,L,1,there was a hole in there,1
16,4,55.70394737,4.641995614,four,2,stickerfirst,blue-right,pen,2,transfer,1,L,R,1,"in there, blue and pink",0
16,4,55.70394737,4.641995614,four,2,stickerfirst,blue-right,pen,2,transfer,2,R,L,1,"in there, blue and pink",0
16,4,55.70394737,4.641995614,four,2,stickerfirst,blue-right,pen,2,transfer,3,R,L,1,"in there, blue and pink",0
16,4,55.70394737,4.641995614,four,2,stickerfirst,blue-right,pen,2,transfer,4,L,R,1,"in there, blue and pink",0
16,4,55.70394737,4.641995614,four,2,stickerfirst,blue-right,pen,2,transfer,5,L,R,1,"in there, blue and pink",0
16,4,55.70394737,4.641995614,four,2,stickerfirst,blue-right,pen,2,transfer,6,R,R,0,"in there, blue and pink",0
16,4,55.70394737,4.641995614,four,2,stickerfirst,blue-right,pen,2,transfer,7,L,L,0,"in there, blue and pink",0
16,4,55.70394737,4.641995614,four,2,stickerfirst,blue-right,pen,2,transfer,8,L,L,0,"in there, blue and pink",0
16,4,55.70394737,4.641995614,four,2,stickerfirst,blue-right,sticker,1,test,1,R,R,1,"in there, blue and pink",0
16,4,55.70394737,4.641995614,four,2,stickerfirst,blue-right,sticker,1,test,2,L,L,1,"in there, blue and pink",0
16,4,55.70394737,4.641995614,four,2,stickerfirst,blue-right,sticker,1,test,3,L,R,0,"in there, blue and pink",0
16,4,55.70394737,4.641995614,four,2,stickerfirst,blue-right,sticker,1,test,4,R,R,1,"in there, blue and pink",0
16,4,55.70394737,4.641995614,four,2,stickerfirst,blue-right,sticker,1,test,5,L,L,1,"in there, blue and pink",0
16,4,55.70394737,4.641995614,four,2,stickerfirst,blue-right,sticker,1,test,6,R,R,1,"in there, blue and pink",0
16,4,55.70394737,4.641995614,four,2,stickerfirst,blue-right,sticker,1,test,7,R,R,1,"in there, blue and pink",0
16,4,55.70394737,4.641995614,four,2,stickerfirst,blue-right,sticker,1,test,8,L,L,1,"in there, blue and pink",0
17,5,63.34210526,5.278508772,five,2,penfirst,blue-right,pen,1,test,1,L,R,1,"I saw the stickers go into the cups - I don't know to ""but how did you know which cup it went in?""",0
17,5,63.34210526,5.278508772,five,2,penfirst,blue-right,pen,1,test,2,L,R,1,"I saw the stickers go into the cups - I don't know to ""but how did you know which cup it went in?""",0
17,5,63.34210526,5.278508772,five,2,penfirst,blue-right,pen,1,test,3,R,L,1,"I saw the stickers go into the cups - I don't know to ""but how did you know which cup it went in?""",0
17,5,63.34210526,5.278508772,five,2,penfirst,blue-right,pen,1,test,4,L,R,1,"I saw the stickers go into the cups - I don't know to ""but how did you know which cup it went in?""",0
17,5,63.34210526,5.278508772,five,2,penfirst,blue-right,pen,1,test,5,R,L,1,"I saw the stickers go into the cups - I don't know to ""but how did you know which cup it went in?""",0
17,5,63.34210526,5.278508772,five,2,penfirst,blue-right,pen,1,test,6,L,R,1,"I saw the stickers go into the cups - I don't know to ""but how did you know which cup it went in?""",0
17,5,63.34210526,5.278508772,five,2,penfirst,blue-right,pen,1,test,7,R,L,1,"I saw the stickers go into the cups - I don't know to ""but how did you know which cup it went in?""",0
17,5,63.34210526,5.278508772,five,2,penfirst,blue-right,pen,1,test,8,R,L,1,"I saw the stickers go into the cups - I don't know to ""but how did you know which cup it went in?""",0
17,5,63.34210526,5.278508772,five,2,penfirst,blue-right,sticker,2,transfer,1,R,R,1,"I saw the stickers go into the cups - I don't know to ""but how did you know which cup it went in?""",0
17,5,63.34210526,5.278508772,five,2,penfirst,blue-right,sticker,2,transfer,2,R,R,1,"I saw the stickers go into the cups - I don't know to ""but how did you know which cup it went in?""",0
17,5,63.34210526,5.278508772,five,2,penfirst,blue-right,sticker,2,transfer,3,L,L,1,"I saw the stickers go into the cups - I don't know to ""but how did you know which cup it went in?""",0
17,5,63.34210526,5.278508772,five,2,penfirst,blue-right,sticker,2,transfer,4,L,L,1,"I saw the stickers go into the cups - I don't know to ""but how did you know which cup it went in?""",0
